Calendar_Year,Germany_GDP_Constant_2015_USD,Germany_GDP_Per_Capita_USD,Germany_Gross_Savings_Pct_GDP,Germany_GFCF_Pct_GDP,Japan_GDP_Constant_2015_USD,Japan_GDP_Per_Capita_USD,Japan_Gross_Savings_Pct_GDP,Japan_GFCF_Pct_GDP,Korea_GDP_Constant_2015_USD,Korea_GDP_Per_Capita_USD,Korea_Gross_Savings_Pct_GDP,Korea_GFCF_Pct_GDP,USA_GDP_Constant_2015_USD,USA_GDP_Per_Capita_USD,USA_Gross_Savings_Pct_GDP,USA_GFCF_Pct_GDP
2011,3268996785218.57,40722.4849268242,26.1212416861128,20.0081182128282,4219912322040.1,33011.1342301291,22.894532483638,23.3511623002885,1367937063745.25,27393.455357272,34.1433681473028,30.579957304265,16513977256911.2,52956.6630340962,15.3179600577581,18.7369868048565
2012,3284148978797.69,40834.5088218456,25.5119887971193,19.9663127661399,4277925608846.49,33518.4449368599,22.3635480474837,23.7736492973571,1402787524457.73,27944.0564190045,33.7447491121167,29.8554284944494,16892000920975.5,53738.1476714593,16.5569941422251,19.5126025510627
2013,3297186905208.25,40884.8926759028,25.5629203762105,19.5771468839831,4363702302793.37,34239.8862473488,22.0071688533491,24.5565269630113,1448958816285.78,28732.711152033,34.1992129289363,29.2348610530955,17249744800617.5,54462.6252412407,17.3613954399454,19.7983980671233
2014,3369071713224.27,41602.4661281668,26.6784722245491,19.782574460457,4376627829634.98,34386.9058552671,22.4422381175418,25.0845490939861,1495538208413.16,29470.6732991655,34.4303773828112,29.1925808527488,17685097277697.8,55394.4510435329,17.7426352889336,20.4864937674979
2015,3425099578746.09,41929.7549110722,26.9120157562447,19.7477510746575,4444930651964.18,34960.6393843385,24.6114592004978,24.9714561746572,1539212301135.55,30171.7906545222,35.8602944893542,29.1800840544677,18206020741000.0,56572.9188996063,18.1511093940371,20.7502235317815
2016,3501212900675.89,42516.9337063103,26.977350471487,20.0438468833034,4478437728050.46,35242.199377148,25.6412705749051,24.7606842913738,1588028842393.05,31005.4072876388,36.3086493125632,29.8662168895967,18537270454435.6,57151.4708448372,17.7313088433413,20.8016632416177
2017,3599173571724.7,43543.4807050551,27.6420520174852,20.1339289732412,4553466417290.11,35861.9728545672,25.9744916132228,25.0073498435107,1642548917819.59,31979.9027302467,36.4709355988436,31.6985138146943,18992846546661.7,58151.7021391854,17.8206940166992,21.1343937588394
2018,3640049243667.4,43905.8550061973,27.5189209179885,20.8175234345652,4582763011478.55,36138.5290824814,25.6616737039553,25.2677675892842,1694718171579.25,32852.8887488942,35.4458365066422,30.4949863588202,19556270302218.3,59526.665698712,18.2090969463905,21.4240428649128
2019,3675639268112.03,44235.2658954682,26.9885052922019,21.1522978107472,4564332550096.38,36043.7844013518,25.5003129532535,25.5475785734924,1733930596323.25,33496.3113815643,33.831178495402,30.112526532099,20061570168697.6,60750.9898621637,18.3872667792114,21.4897485242357
2020,3523764998709.97,42372.8726784255,27.0351115129596,21.3426763110307,4374056271824.01,34642.9718743239,24.9551743179788,25.4716981132075,1721788880530.99,33215.9298928108,35.2103082561703,31.0409083655236,19627632559934.5,59194.6665172031,17.3498643959484,21.8887242742465
2021,3661544208117.2,44011.0194631674,27.7931967173048,21.181504152251,4492005937826.88,35741.1601062924,25.3046685192408,25.5546376460195,1801214449834.76,34792.9397214598,35.864250124296,31.4877644393711,20816096100824.5,62680.2503585805,16.409338797498,21.6159536186479
2022,3727790994177.62,44817.1316331389,25.7470691007898,21.6010467765749,4534320578755.85,36238.3294895302,23.0554356242395,26.2617706144091,1850343736945.76,35809.0138105144,33.3300613676458,31.9338930962313,21339074561820.0,63886.1317069841,16.9791117428493,21.7099777470183
2023,3695372350062.48,44368.9920074881,25.9662598860951,21.1916877404125,4601203385713.7,36952.5150709861,24.7344835596478,26.0120879352945,1879634949821.72,36347.7036392553,32.2761724912913,31.4470154989809,21955252291273.6,65186.5977244157,17.3875791309142,21.7264982141848
2024,3677048776153.86,44027.7631554469,25.2768210451909,20.4603173503166,4606002855955.13,37152.5636003552,25.3094395485879,26.0840902660166,1917295522781.86,37048.4264001496,34.0290975945706,30.029371211707,22568462768174.3,66356.1706750101,17.1067567574704,21.6987566313724
